,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,_event,_interaction_subject_id,_percentage_start,_percentage_stop,_scope,_scoring_id,_social,_subject_id,_type,_type_name,_value,_value_color,_variable_id
0,1816_C1_542_4wk,19.833333333333332,595,,,1,Start/End,Start,,,,True,,0.05495520458113974,0.05495520458113974,3,54,0,54,LOOPY_scoring_event_nonsocial,Nonsocial Event,522,#00c600,517
1,1816_C1_542_4wk,26.8,804,27.9,837.0,1,Investigating,Left Object,,,,False,,0.0742587974508174,0.0773067331670823,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,519,#ff8040,516
2,1816_C1_542_4wk,33.6,1008,37.43333333333333,1123.0,1,Investigating,Left Object,,,,False,,0.09310058187863675,0.10372217604137804,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,519,#ff8040,516
3,1816_C1_542_4wk,40.766666666666666,1223,42.03333333333333,1261.0,1,Investigating,Right Object,,,,False,,0.11295834487854438,0.1164680890366676,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,520,#004080,516
4,1816_C1_542_4wk,47.3,1419,50.13333333333333,1504.0,1,Investigating,Left Object,,,,False,,0.1310612357993904,0.13891197931098181,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,519,#ff8040,516
5,1816_C1_542_4wk,51.93333333333333,1558,52.833333333333336,1585.0,1,Investigating,Right Object,,,,False,,0.14389951048305163,0.14639327606908653,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,520,#004080,516
6,1816_C1_542_4wk,72.5,2175,73.66666666666667,2210.0,1,Investigating,Right Object,,,,False,,0.20088667220836798,0.2041193313013762,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,520,#004080,516
7,1816_C1_542_4wk,76.03333333333333,2281,77.26666666666667,2318.0,1,Investigating,Left Object,,,,False,,0.2106770111757643,0.21409439364551583,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,519,#ff8040,516
8,1816_C1_542_4wk,81.63333333333334,2449,86.7,2601.0,1,Investigating,Left Object,,,,False,,0.22619377482220376,0.24023275145469658,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,519,#ff8040,516
9,1816_C1_542_4wk,100.3,3009,104.4,3132.0,1,Investigating,Left Object,,,,False,,0.27791632031033525,0.2892768079800499,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,519,#ff8040,516
10,1816_C1_542_4wk,108.5,3255,109.9,3297.0,1,Investigating,Right Object,,,,False,,0.3006372956497645,0.30451648656137437,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,520,#004080,516
11,1816_C1_542_4wk,119.83333333333333,3595,121.7,3651.0,1,Investigating,Left Object,,,,False,,0.33204026969613004,0.3372125242449432,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,519,#ff8040,516
12,1816_C1_542_4wk,123.83333333333333,3715,125.3,3759.0,1,Investigating,Left Object,,,,False,,0.34312367230072965,0.34718758658908283,3,54,0,54,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,519,#ff8040,516
